date	rain	temp_min	temp_max
2024-02-22	0.0		
2024-02-21	0.0		
2024-02-20	0.0		
2024-02-19	0.0		
2024-02-18	0.0		
2024-02-14	0.0		
2024-02-13	0.0		
2024-02-12	0.0		
2024-02-11	0.0		
2024-02-10	0.0		
2024-02-09	0.0		
2024-02-08	0.0		
2024-02-07	0.0		
2024-02-04	0.0		
2024-02-03	0.0		
2024-01-28	0.0		
2024-01-27	0.0		
2024-01-26	0.0		
2024-01-25	0.0		
2024-01-24	0.0		
2024-01-23	0.0		
2024-01-22	0.0		
2024-01-18	3.2		
2024-01-17	0.0		
2024-01-16	0.0		
2024-01-15	0.0		
2024-01-04	0.0		
2023-12-26	0.0		
2023-12-24	0.0		
2023-12-07	12.5		
2023-09-16	0.0		
2023-08-28	0.0		
2023-08-27	0.0		
2023-08-26	0.0		
2023-08-25	0.0		
2023-08-21	0.0		
2023-08-19	0.0		
2023-08-18	0.0		
2023-08-17	0.0		
2023-08-16	0.0		
2023-08-15	0.0		
2023-05-08	28.5		
2023-02-05	11.2		
2023-01-24	84.2		
2022-12-20	103.6		
2022-11-09	68.7		
2022-11-03	30.3		
2022-08-26	13.5		
2022-07-29	28.5		
2022-04-29	55.7		
2022-04-03	73.7		
2022-03-31	49.3		
2022-03-25	10.5		
2022-01-04	86.7		
2021-10-28	41.7		
2021-09-25	132.0		
2021-09-19	31.0		
2021-08-23	100.5		
2021-08-23	100.5		
