date	rain	min_temp	max_temp
2021-07-15	4.0		
2021-08-15	8.4		
2021-09-10	0.0		
2021-10-09	7.5		
2021-11-23	14.5		
2021-12-29	0.0		
2022-01-01	24.4		
2022-01-22	0.0		
2022-01-28	0.0		
2022-01-30	0.0		
2022-02-06	0.0		
2022-02-16	0.0		
2022-02-28	0.0		
2022-03-10	0.0		
2022-03-24	12.5		
2022-04-16	0.0		
2022-09-17	0.0		
2022-11-08	44.5		
2022-11-11	143.5		
2022-11-20	0.0		
2022-11-25	0.0		
2022-12-09	180.4		
2023-01-20	0.0		
2023-02-13	0.0		
2023-02-16	0.0		
2023-02-23	0.0		
2023-04-15	0.0		
2023-11-14	43.4		
2023-12-26	5.8		
