date	rain	min_temp	max_temp
2018-11-04	14.2		
2019-02-04	38.1		
2019-11-29	49.9		
2020-01-22	19.9		
2021-07-16	14.6		
2021-08-21	64.5		
2021-09-18	14.8		
2021-09-19	9.1		
2021-09-23	20.7		
2021-10-20	44.4		
2021-10-30	36.7		
2021-11-21	2.1		
2021-11-24	124.4		
2021-12-05	1.3		
2021-12-09	29.3		
2021-12-11	7.3		
2021-12-18	36.5		
2021-12-20	1.8		
2021-12-21	4.7		
2022-01-01	19.6		
2022-01-07	6.3		
2022-01-09	31.8		
2022-01-12	8.3		
2022-01-15	1.2		
2022-01-19	5.3		
2022-01-28	0.6		
2022-01-29	0.5		
2022-01-31	20.5		
2022-02-13	82.6		
2022-02-20	13.0		
2022-02-25	8.4		
2022-03-03	27.8		
2022-03-07	27.1		
2022-03-09	16.1		
2022-03-13	15.8		
2022-03-19	10.4		
2022-03-25	4.6		
2022-03-26	1.4		
2022-04-03	1.2		
2022-04-06	54.0		
2022-04-09	71.9		
2022-04-13	42.9		
2022-04-17	1.6		
2022-04-20	19.8		
2022-04-24	21.1		
2022-05-03	0.8		
2022-05-05	16.2		
2022-05-16	1.6		
2022-07-18	8.4		
2022-08-17	2.2		
2022-08-18	10.5		
2022-08-19	10.5		
2022-09-05	40.6		
2022-09-26	45.6		
2022-10-10	78.3		
2022-11-13	81.4		
2022-11-25	29.9		
2022-11-27	0.6		
2022-12-19	51.3		
2022-12-21	25.7		
2022-12-25	58.0		
2023-01-09	16.5		
2023-01-18	7.0		
2023-01-22	49.8		
2023-01-23	2.0		
2023-01-28	6.9		
2023-03-01	78.2		
2023-03-05	15.2		
2023-03-11	6.2		
2023-03-19	13.2		
2023-03-20	46.9		
2023-04-09	0		
2023-04-23	28.7		
2023-04-30	16.0		
2023-05-01	17.4		
2023-05-21	17.7		
2023-06-03	0.0		
2023-08-07	4.6		
2023-08-23	34.5		
2023-08-25	1.2		
2023-09-21	5.4		
2023-09-24	10.0		
2023-10-10	53.3		
2023-11-19	107.7		
2023-11-22	62.8		
2023-11-27	19.2		
2023-11-30	55.6		
2023-12-08	42.1		
2023-12-09	88.5		
2023-12-20	60.2		
2023-12-25	16.5		
2023-12-27	23.2		
2023-12-30	137.4		
2023-12-31	45.5		
2024-01-01	40.9		
2024-01-02	93.5		
2024-01-11	104.8		
2024-02-05	23.7		
2024-02-13	2.8		
2024-02-15	5.4		
2024-02-17	12.4		
2024-02-28	1.2		
2024-03-22	69.5		
2024-03-24	1.7		
2024-04-13	37.2		
2024-05-09	39.5		
2024-05-15	100.2		
2024-08-05	28.4		
2024-08-20	53.3		
2024-08-24	28.2		
2024-10-21	67.5		
2024-10-22	88.6		
2024-10-31	15.0		
2025-01-16	27.2		
2025-01-18	13.5		
2025-01-19	172.5		
2025-01-21	31.8		
2025-01-27	1.6		
2025-02-26	91.0		
2025-02-27	142.7		
2025-03-24	6.3		
2025-04-07	78.6		
2025-04-13	5.0		
2025-04-19	33.2		
2025-08-02	57.2		
2025-08-23	2.7		
2025-10-04	11.0		
