date	rain	min_temp	max_temp
2018-11-19	28.6		
2019-02-10	134.2		
2019-02-20	9.3		
2019-10-04	63.6		
2020-03-21	25.6		
2020-05-25	34.8		
2020-08-03	15.7		
2020-08-11	9.2		
2020-10-25	3.8		
2021-07-04	3.4		
2021-07-05	3.0		
2021-07-08	19.8		
2021-07-16	0.6		
2021-07-23	7.1		
2021-07-27	39.4		
2021-08-01	1.2		
2021-08-09	30.7		
2021-08-14	1.3		
2021-08-28	19.5		
2021-08-29	29.8		
2021-08-31	0.2		
2021-09-04	67.6		
2021-09-07	14.8		
2021-09-08	4.3		
2021-09-10	2.8		
2021-09-14	19.4		
2021-09-15	5.3		
2021-09-16	30.3		
2021-09-21	67.0		
2021-10-06	76.6		
2021-10-07	5.4		
2021-10-09	4.1		
2021-10-10	4.2		
2021-10-12	23.2		
2021-10-13	29.8		
2021-10-14	0.4		
2021-10-17	12.6		
2021-10-18	6.1		
2021-10-19	1.3		
2021-11-08	74.2		
2021-11-14	28.3		
2021-11-16	48.2		
2021-11-20	31.3		
2021-12-05	30.1		
2021-12-19	78.3		
2021-12-31	59.4		
2022-01-08	18.3		
2022-01-13	1.5		
2022-01-25	6.9		
2022-02-01	17.6		
2022-02-26	2.3		
2022-03-09	7.4		
2022-03-13	35.0		
2022-03-18	52.4		
2022-03-19	17.4		
2022-03-20	1.4		
2022-04-02	2.4		
2022-04-04	23.7		
2022-04-06	55.0		
2022-04-09	72.1		
2022-04-10	63.2		
2022-04-13	76.9		
2022-04-24	95.4		
2022-04-27	4.5		
2022-04-29	24.3		
2022-05-01	7.6		
2022-05-06	11.1		
2022-05-12	18.8		
2022-05-14	50.4		
2022-05-15	43.6		
2022-05-16	28.9		
2022-05-19	22.3		
2022-05-20	17.2		
2022-05-22	2.1		
2022-05-23	6.9		
2022-05-25	148.7		
2022-05-26	8.9		
2022-05-28	38.9		
2022-05-29	13.8		
2022-05-30	31.0		
2022-06-03	11.9		
2022-06-05	3.4		
2022-06-09	1.8		
2022-06-12	26.8		
2022-06-23	4.8		
2022-06-25	14.2		
2022-08-05	12.4		
2022-08-22	6.5		
2022-09-02	16.2		
2022-09-04	3.5		
2022-09-05	46.5		
2022-09-21	1.7		
2022-10-13	68.2		
2022-10-15	133.2		
2022-10-16	36.8		
2022-10-18	41.8		
2022-10-19	41.4		
2022-10-22	37.5		
2022-10-24	63.6		
2022-10-26	32.3		
2022-10-27	15.9		
2022-10-28	4.3		
2022-10-30	11.3		
2022-11-02	67.3		
2022-11-08	82.5		
2022-11-15	69.8		
2022-12-03	35.0		
2022-12-11	17.6		
2022-12-29	15.3		
2023-01-16	16.8		
2023-01-17	30.6		
2023-01-27	1.3		
2023-02-25	102.3		
2023-02-26	18.0		
2023-03-06	12.3		
2023-03-14	9.8		
2023-03-19	7.1		
2023-03-24	36.5		
2023-03-26	1.4		
2023-04-05	40.2		
2023-04-08	6.7		
2023-04-09	24.0		
2023-04-10	6.3		
2023-04-15	6.8		
2023-04-16	35.1		
2023-04-25	24.8		
2023-04-29	27.5		
2023-05-06	3.8		
2023-05-15	8.8		
2023-05-20	1.8		
2023-05-27	0.4		
2023-06-02	34.2		
2023-06-03	30.2		
2023-06-04	19.2		
2023-06-12	60.2		
2023-06-20	9.4		
2023-06-26	32.3		
2023-06-29	6.7		
2023-07-01	5.5		
2023-07-03	21.2		
2023-07-06	44.1		
2023-07-15	1.1		
2023-07-16	0.0		
2023-07-17	0.2		
2023-07-23	0.0		
2023-07-25	6.9		
2023-08-14	0.5		
2023-08-16	2.9		
2023-08-19	2.0		
2023-08-20	0.0		
2023-08-27	0.0		
2023-08-28	0.5		
2023-08-30	81.6		
2023-08-31	19.5		
2023-09-01	38.5		
2023-09-03	70.1		
2023-09-08	70.3		
2023-09-12	33.6		
2023-09-13	3.9		
2023-09-23	60.5		
2023-09-24	5.0		
2023-09-26	14.1		
2023-09-28	67.5		
2023-09-29	95.5		
2023-10-06	64.0		
2023-10-22	46.9		
2023-10-29	76.1		
2023-10-31	70.2		
2023-11-01	44.1		
2023-11-10	71.1		
2023-11-23	133.5		
2023-11-25	9.2		
2023-11-26	7.9		
2023-11-28	79.6		
2023-12-09	65.4		
2023-12-10	20.9		
2023-12-11	96.9		
2024-01-15	0.0		
2024-02-05	50.3		
2024-02-06	25.7		
2024-02-16	31.1		
2024-02-23	1.4		
2024-02-25	0.0		
2024-03-10	0.0		
2024-03-16	0.2		
2024-03-24	2.0		
2024-03-29	33.8		
2024-03-30	26.7		
2024-04-02	69.2		
2024-04-06	2.4		
2024-04-07	18.8		
2024-04-12	85.5		
2024-04-21	60.7		
2024-04-25	29.3		
2024-04-29	4.2		
2024-05-06	5.7		
2024-05-07	30.3		
2024-05-09	61.7		
2024-05-12	28.3		
2024-05-14	49.2		
2024-05-24	38.5		
2024-05-25	27.6		
2024-05-26	55.1		
2024-05-29	29.7		
2024-06-01	84.4		
2024-06-09	51.6		
2024-06-28	31.5		
2024-07-02	34.6		
2024-07-06	106.7		
2024-07-09	11.6		
2024-07-14	62.1		
2024-07-18	12.2		
2024-07-19	6.0		
2024-07-29	19.3		
2024-08-01	48.9		
2024-08-04	3.9		
2024-08-18	72.6		
2024-09-04	14.1		
