rain	temp_min	temp_max	date
0.0			2021-07-30
0.0			2021-07-31
24.9			2021-09-23
84.3			2021-10-27
82.7			2021-12-03
49.6			2021-12-04
10.3			2022-01-14
4.1			2022-03-06
51.6			2022-04-08
27.1			2022-05-06
29.3			2022-07-31
29.1			2022-10-11
60.6			2022-10-23
27.7			2022-10-27
4.9			2022-10-28
66.6			2022-11-17
0.3			2022-11-26
22.7			2022-11-27
32.8			2022-11-28
1.0			2023-01-21
0.0			2023-02-17
1.8			2023-04-11
19.7			2023-09-19
91.2			2023-11-02
54.3			2023-11-04
54.3			2023-11-05
67.7			2023-11-14
29.4			2023-11-18
12.6			2023-12-10
73.6			2023-12-16
76.7			2023-12-29
110.6			2024-01-06
34.7			2024-02-02
8.5			2024-02-15
4.5			2024-02-17
